0Calories ,1Fats (gm),2Proteins(g),3Iron(mg),4Calcium(mg),5Sodium(mg),6Potassium(mg),7Carbohydrates (gm),8Fibre (gm),9Vitamin D (mcg),10Sugars (gm)
682,25,12,2.5,96,36,431,105,6,0,15
123,2.1,7.8,1.4,161.1,50.4,201.1,18.8,5,0,4
177,3,9,4,85,179,11.5,32,9,0,8
116,9,2.2,0.8,33.1,1.9,9,6.3,0.21,0,8.2
275,14,5,2,55,463,677,36,5,0,9.1
305,7,9,3,57,42,976,52,7,0,5
314,24.3,9.4,0.8,246.5,9.6,67.5,13.3,3.3,0,4.81
177,8.5,3.3,1.3,17.1,7.5,132.3,22.6,3.3,0,1.29
430,1.5,26,0.91,18,920,214.1,35,1,0,7
59,2.8,1.4,1,65.7,15.3,194.6,7.2,2.8,0,3.21
290,2,9,7,101,167,570,60,5,0,4
155,12,3,1,62,271,256,11,4,0,4
113,10.2,1.4,0.6,27.4,13.2,130.6,3.7,2.6,0,4.1
225,16,4,2.2,75,412,446,18,5,0,10
328,16,22,2.4,32,1129,812,24,2,0,11
224,0.5,7.7,0.4,261,97.2,385.4,49.1,2.2,0,45.9
158,4.4,4.5,1,23.3,40.7,163.7,25.2,2,0,4.2
189,10,627,1,24,109,627,25,5,0,3
268,14,25,1.2,29,765,633,8,2,0,3
110,2.6,4.9,1.6,42.7,89.6,248,16.9,4.6,0,1
143,4.3,7.1,1,33.8,11.2,368,19.1,3.1,0,1.3
392.3,10.6,32.3,25.3,46,758.8,577.9,45.7,7.4,0,3.4
142,6.5,3.9,1.2,38.6,6,89.9,17.6,3.3,0,2.1
221,3,11.3,3.6,71.1,52.9,454.4,37.2,8.5,0,0.921
389,15.7,13.3,6,118,2389,1033,55.9,13.4,0,19.8
314,14,4,1,72,220,143,45,1,0,30
94,3.4,1.7,0.9,80.7,5.2,95.9,14.1,2.4,0,0.7
158,7,2,1,35,453,352,22,4,0,5
262,11.7,5.1,0.1,152.3,9.5,45,31.4,0.3,0,7
318,23,6,0.8,66,239,395,26,2,0,9
451,32.3,16.5,1.2,512.7,66,182.3,23.5,3.4,0,1.3
73,5,1,1,25,68,157,6,2,0,3
385,23.7,11.6,2,237.2,45,341.8,25.8,5.3,0,1
406,26,21,2,46,2017,522,21,3,0,7
232.2,10.4,18.3,1.21,28,587,269.8,14.1,2,0.21,0.4
463,34.6,33.3,1.3,21,137.4,213,3.4,1.1,0,1.5
439,31.3,9.4,2.3,25,31.4,312.5,29.9,6.7,0,4
139,0.6,9,1.7,143.8,39.3,355.4,24.3,4.6,0,2
177,13,6,4,129,474,822,12,4,0,3
545,8,19,13,423,3264,501,103,13,1,37
154,3,5,1.8,206,84,635,29,4,0,18
223,9.7,7.2,2,90.6,10.5,379.7,26.8,11.7,0,9
12,0,0.1,0,5.3,1.6,16.7,2.9,0.2,0,9.1
117,6.9,2.6,0.5,42.7,2.8,41.8,11.2,0.9,0,0.6
287,10.5,10.9,3.3,59.8,37,361.9,37.5,8.1,0,11
154,8,3,1,8,269,87,18,3,1,1
57,0.3,4.3,1.2,57.8,32.7,137.7,9.4,5,0,1.2
307,27,9,1,255,493,221,9,2,1,4
510,11,10,2.2,74,51,382,92,6,0,1
67,3.3,2.4,0.2,114.1,10.6,67.9,4.4,0.1,0,7.2
189,14.4,3.7,1.1,131,8.9,78.7,11.6,2,0,0
330,4.2,6,0.4,400,603,460,60,4.8,0,3
269,16.8,3,0.8,86.4,20.9,324.7,25.1,2.4,0,0.4
580,29.2,10.8,2.1,305.4,37,330,61.8,3.9,0,1
244.13,1.93,3.06,0.9,9.54,1.25,89.8,34.96,2.38,1,1.1
160,10.9,4.7,0.1,105,9.5,45,7.9,1.9,0,0.31
149,3,5.7,0.9,15.7,6.3,228,24.7,1.6,0,3
169,6.8,4,0.6,114,19.8,242.4,20.3,1.7,0,1
202,9,3.2,1.3,50.5,549.9,180.6,27.3,3.2,0,1.1
534,47.5,7.7,4.3,88.5,69.7,495,36.5,0.1,0,7
136,9,3,0.1,130,42,165,10,5,0,5
228,12,8,9,8,413,259,22,4,0,3
5,0,0,0.4,10,39,23,1,1,0,0
664,45.8,33.8,2.6,44.2,1288,548,28.2,3.5,0,2.8
69,2.9,3.3,1.4,32,140,93,7.4,0.6,0,0.4
389.3,21.5,40.4,4.2,382.6,666.2,897,8.8,3.1,0.6,0.8
203,13.12,2.87,0.42,24.64,0,66.13,19.71,7,0,8.46
67.4,0.6,12.1,1.9,29.6,73.7,131.6,1.8,0.1,0,0.2
23,0.2,0.3,0.1,2.7,24.7,37.3,5.1,0.4,0,4.1
539,22.2,15,5.6,120,647,432,78.4,10,0,7.5
125,0.4,4,0.9,2.98,116,51,26,1.2,0,0.1
204,13,2.9,0.9,2.31,331,550,21,3.6,0,4.7
112,2.6,1.5,0.4,9.2,10.1,227.2,20.8,1.6,0,1.1
194,5.2,2.2,0.7,21,15.2,336,34.8,2.4,0,0.1
96,1.5,3.2,2.5,53.8,18.8,150.3,17.3,2.4,0,0.4
140,9,3,0.4,11,85,104,14,3,0,4
64,4.4,1.9,2.4,91.9,50.7,196.1,4.3,2.2,0,1.1
212,12.8,1,0.2,38,7.4,324.2,23.3,3.2,0,0.9
66,13.7,4.1,1.1,48.3,9.5,120.2,31.4,3.1,0,1.2
160,14,2,0.4,8,135,94,7,1,0,3
95,4.1,3.8,0.6,15.2,35.9,164.8,10.8,3.8,0,2
140,1.1,7.1,0.2,1,12,123,18.1,5,0,2.3
27,1,1,1,2,1,25,7,1,0,7
125,8,4,1,131,456,146,20,3,0,5
131,2.5,15,0,150,401,0,11,0,0,10
288,10.2,2.9,0.4,22.6,1.4,6.8,45.4,0,0,12
215,19.2,3.1,0.4,111.1,18,193.6,6,4,0,2.1
108,6,5,2.7,89,153,76,8,1,0,1
367,22.1,7.4,0.9,233.2,24.5,181.7,29.8,2.2,0,1.2
244,20.4,2.4,2.4,152.4,33.5,128.1,12.8,4.2,0,0.3
343,1.6,22.9,10.8,150,30,1191,61.5,1,0,0.13
170,14.4,1.7,0.8,35.4,13.6,168.3,8.4,3.6,0,0.21
105,9,1,1,3,4,42,6,1,0,1
80,2,4,0.4,2,112,111,10,5,0,0.4
216,8,4,2,40,14,852,34,5,0,2
53,3.8,0.8,0.2,28.8,2.9,53,3.8,1.3,0,1
194,5.2,2.2,0.7,21,15.2,336,34.8,2.4,0,0.6
200,2.5,23.9,0,0,0,0,7.9,2.3,0,6.9
23,1.8,0.1,0.2,6.5,194.4,28.2,1.7,0.4,0,1
64,4.4,1.9,2.4,191.9,50.7,196.1,4.3,2.2,0,0.2
306,12.7,8.2,2.6,109.8,108.9,243.3,40.4,7.3,0,0.7
31,2.2,0.5,0.2,14.2,3.8,48.2,2.1,0.6,0,0.4
56,12,2.5,0.9,11,13.2,115,2,1.2,0,1
480,9.4,9.6,4.1,178.2,755.5,612.5,80.3,22.1,0,6.1
90.45,3.24,4.68,1.48,13.85,5.02,220.4,10.18,3.45,0,0.11
580,29.2,10.8,2.1,305.4,37,330,61.8,3.9,0,1.01
143,5.4,1.5,0.6,20,76,80,22.6,0.7,0,14.9
1226,63.5,26.5,0.6,12,21,67,137.3,0.3,0,0.31
102,3.4,3.2,1.6,55.2,16.1,87.8,14.8,2.7,0,0.11
95,7.4,1.7,0.3,9.4,0.2,52.9,5.2,0.2,0,10
754.6,34.5,22.9,4.4,259.5,354.8,321,87.4,3.9,0,3.3
123.5,1.5,4.8,0.6,21,611.4,204.3,22.8,1.6,0,1.2
31,2.2,0.6,0.3,14.4,3.8,48.2,2.1,0.6,0,0.31
195,11.5,4.1,0.9,10.3,5.2,113.7,18.8,0.9,0,0.41
90,5.7,3.5,2.4,114.1,9.6,37.6,6,1.8,0,0.6
98.8,3.8,2.8,0.8,8.1,50.1,43.2,14.4,2.4,0,3
93,0.2,0.4,0.1,7.2,1.4,112.3,23.7,1.3,0,14
150,5.1,5.3,2.3,39.8,5.6,49.2,22.8,6.9,0,0.31
273.9,11.6,6,1,31.2,269.8,112,40.7,4.3,0,19.6
165,5.1,22.2,5.91,556,473,1177,13.1,8.8,0,3.03
83,0.6,1.3,0.6,41,301,421,6.4,1.2,0,5
357,13,11,1.8,33.33,2033.83,312,49,6,0,3
22,1,0.3,0.4,10,351,27,3,1,0,0.3
226,16.2,6.1,1.6,138.6,20.8,173.6,14.3,3.3,0,0.21
205,5,4,1.4,44,826,373,35,2,0,2
276,13.8,10.1,2,161.3,38.7,313.4,24.2,5.4,0,0.1
174,6,7,0.6,228,205,429,22,2,0,18
194,5.2,2.2,0.7,21,15.2,336,34.8,2.4,0,1
